type,subtype,genomes_with_system,total_genes,mean_genes_per_genome
Cas,CAS_Class1-Subtype-I-E,1961,6163,3.14
Lamassu-Fam,Lamassu-Fam,681,2042,3
RM,RM_Type_III,683,1344,1.97
Gabija,Gabija,346,691,2
AbiD,AbiD,682,682,1
RM,RM_Type_IIG,549,549,1
RM,RM_Type_I,10,30,3
PsyrTA,PsyrTA,14,20,1.43
AbiQ,AbiQ,7,7,1
Cas,CAS_Class2-Subtype-II-A,1,4,4
PD-T4-9,PD-T4-9,2,4,2
Abi2,Abi2,2,2,1
RM,RM_Type_II,1,2,2
AbiH,AbiH,1,1,1
AbiJ,AbiJ,1,1,1
AbiZ,AbiZ,1,1,1
CBASS,CBASS_I,1,1,1
CapRel,CapRel,1,1,1
PD-Lambda-1,PD-Lambda-1,1,1,1
RM,RM_Type_IV,1,1,1
